Beta,Reward,Cost
0.0,1.0,0.9275
0.1,1.0,0.92803
0.2,1.0,0.92821
0.3,1.0,0.92789
0.4,0.82829,0.4977
0.5,0.8286,0.49806
0.6,0.81334,0.47076
0.7,0.74402,0.36608
0.8,0.66934,0.26918
0.9,0.65453,0.252
1.0,0.64844,0.24437
1.1,0.62622,0.22583
1.2,0.56673,0.17273
1.3,0.55884,0.16656
1.4,0.5164,0.13756
1.5,0.50719,0.12888
1.6,0.48281,0.1123
1.7,0.4676,0.10248
1.8,0.44369,0.09027
1.9,0.43597,0.08821
2.0,0.41858,0.07495
