5.656507253646850586e+00,3.994911193847656250e+00,3.516212940216064453e+00,4.748921155929565430e+00
7.264625787734985352e+00,1.298077988624572754e+01,7.314702987670898438e+00,1.608773493766784668e+01
7.247283697128295898e+00,1.555629038810729980e+01,1.595874047279357910e+01,8.392830848693847656e+00
1.757811760902404785e+01,2.018928146362304688e+01,2.389473795890808105e+01,1.750567841529846191e+01
2.102899432182312012e+01,2.335451459884643555e+01,2.837817668914794922e+01,2.322876048088073730e+01
2.273867082595825195e+01,2.507171297073364258e+01,3.257109069824218750e+01,2.103854870796203613e+01
1.989216136932373047e+01,3.124031615257263184e+01,3.216574621200561523e+01,2.433817815780639648e+01
3.084474992752075195e+01,3.183772945404052734e+01,4.142361545562744141e+01,3.516905426979064941e+01
3.379610180854797363e+01,3.838030624389648438e+01,4.252140378952026367e+01,4.155573105812072754e+01
3.080950641632080078e+01,4.948357105255126953e+01,4.699368715286254883e+01,4.561714839935302734e+01
