Beta,Reward,Cost
0.0,1.0,0.99
0.1,1.0,0.99
0.2,1.0,0.99
0.3,1.0,0.99
0.4,1.0,0.99
0.5,1.0,0.99
0.6,1.0,0.99
0.7,1.0,0.99
0.8,1.0,0.99
0.9,1.0,0.99
1.0,0.60571,0.25628
1.1,0.81534,0.40119
1.2,0.73533,0.3854
1.3,0.73224,0.33489
1.4,0.2094,0.03605
1.5,0.15235,0.01129
1.6,0.69005,0.27564
1.7,0.66528,0.24662
1.8,0.66527,0.24686
1.9,0.56339,0.14709
2.0,0.39604,0.0712
