5.454369544982910156e+00,5.339902639389038086e+00,5.307172298431396484e+00,5.230046749114990234e+00
8.991809844970703125e+00,9.111973524093627930e+00,8.838212490081787109e+00,9.016393661499023438e+00
1.515537071228027344e+01,1.563254094123840332e+01,7.471746277809143066e+01,1.659622299671173096e+02
2.322255563735961914e+01,2.395213007926940918e+01,2.112645554542541504e+01,1.707140409946441650e+02
2.749414086341857910e+01,2.681382799148559570e+01,3.114686179161071777e+01,1.393465366363525391e+02
3.950849270820617676e+01,3.882971262931823730e+01,3.963767557144165039e+02,4.306379861831665039e+02
5.026609873771667480e+01,5.215622663497924805e+01,4.939877316951751709e+02,4.619847202301025391e+02
5.187478065490722656e+01,5.498975276947021484e+01,6.494140195846557617e+01,7.701565463542938232e+02
6.190164375305175781e+01,6.146090722084045410e+01,6.506558418273925781e+01,3.945797581672668457e+02
8.642753195762634277e+01,9.318203735351562500e+01,4.196580338478088379e+02,7.307096126079559326e+02
