Beta,Reward,Cost
0.0,1.0,0.92802
0.1,1.0,0.9281
0.2,1.0,0.92802
0.3,1.0,0.92781
0.4,1.0,0.9279
0.5,1.0,0.92784
0.6,1.0,0.92759
0.7,1.0,0.92844
0.8,1.0,0.92746
0.9,0.84916,0.55037
1.0,0.19001,0.03719
1.1,0.81852,0.418
1.2,0.67811,0.3524
1.3,0.72935,0.33483
1.4,0.60845,0.18095
1.5,0.39403,0.1298
1.6,0.6893,0.27646
1.7,0.66443,0.2462
1.8,0.66595,0.24627
1.9,0.60142,0.17948
2.0,0.47461,0.1125
